"","Day","Year","Opponent","GameNumber","Wake_Result","Wake_Rushes","Wake_Rush_Yds","Wake_Rush_TD","Wake_Rush_Lg","Wake_Receptions","Wake_Receptions_Yds","Wake_Receptions_TD","Wake_Receptions_Lg","Wake_Pass_Cmp","Wake_Pass_Att","Wake_Pass_Int","Wake_Pass_Yds","Wake_Pass_TD","Wake_Pass_Lg","Wake_KOR","Wake_KOR_Yds","Wake_KOR_TD","Wake_KOR_Lg","Wake_PR","Wake_PR_Yds","Wake_PR_TD","Wake_PR_LG","Wake_Total_Offense","Wake_Total_Of_Plays","Wake_1st_Downs","Wake_1DRsh","Wake_1DPs","Wake_1DPen","Wake_Solo","Wake_Ast","Wake_Total_Tackles","Wake_TFL","Wake_TFL_Yds","Wake_Sacks","Wake_Sacks_Yds","Wake_FF","Wake_FR","Wake_Fumble_Yds","Wake_Int","Wake_Int_Yds","Wake_QBH","Wake_Brk","Wake_Blk_Kick","Wake_PAT_M","Wake_PAT_Att","Wake_Run","Wake_Rcv","Wake_safety","Wake_Pts","Wake_Punts","Wake_Punts_Yds","Wake_Punts_Avg","Wake_Punts_Lg","Wake_Blkd","Wake_TB","Wake_FB","Wake_50+","Wake_I20","Wake1_FGA","Wake1_FGM","Wake1_Lg","Wake1_Blkd","Wake_Ko","Wake_Ko_Yds","Wake_Ko_Avg","Wake1_TB","Wake_OB","Wake_2gm_TO","Wake_Rush_2gms","Wake_Rush_3gms","Opp_Rushes","Opp_Rushes_Yds","Opp_Rushes_TD","Opp_Rushes_Lg","Opp_Receptions","Opp_Receptions_Yds","Opp_Receptions_TD","Opp_Receptions_Lg","Opp_Pass_Cmp","Opp_Pass_Att","Opp_Pass_Int","Opp_Pass_Yds","Opp_Pass_TD","Opp_Pass_Lg","Opp_KOR","Opp_KOR_Yds","Opp_KOR_TD","Opp_KOR_LG","Opp","Opp.1","Opp_PR_TD","Opp_PR_LG","Opp_Total_Offense","Opp_1st_Downs","Opp_1D-Ru","Opp_1D-Pa","Opp_1D-Pn","Opp_Solo","Opp_Ast","Opp_Total_Tackles","Opp_TFL","Opp_TFL_Yds","Opp_Sacks","Opp_Sacks_Yds","Opp_FF","Opp_FR","Opp_Fumble_Yds","Opp_Int","Opp_Int_Yds","Opp_QBH","Opp_Brk","Opp_Blk_Kick","Opp_PAT_Att","Opp_PAT_M","Opp_Run","Opp_Rcv","Opp_Safety","Opp_Pts","Opp_Punts","Opp_Punts_Yds","Opp_Punts_Avg","Opp_Punts_Lg","Opp_Blkd","Opp_TB","Opp_FC","Opp_50+","Opp_I20","Opp1_FGA","Opp1_FGM","Opp1_Lg","Opp1_Blk","Opp_Ko","Opp_Yds_10","Opp1_Avg","Opp1_TB","Opp_OB","Opp_YPC","Opp_YPA","Opp_Tot_Off_Plays","Opp_YPP","alltimefb_W/L","alltimefb_Score","alltimefb_WFU","alltimefb_Opp","alltimefb_Margin","alltimefb_Calc","alltimefb_ATT","alltimefb_Opp Conf","alltimefb_H A","alltimefb_ACC Rec after for WF","alltimefb_Opp Rec before gm","alltimefb_WF Rank","alltimefb_WF AP","alltimefb_WF Coach","alltimefb_WF CFP","alltimefb_Opp Rank","alltimefb_Opp AP","alltimefb_Opp Coaches Poll","alltimefb_Opp CFP","alltimefb_Notes","alltimefb_WF Record (after)","alltimefb_Coach Rec","alltimefb_Coach","alltimefb_Opp Coach","alltimefb_Pts Combo","alltimefb_OT","alltimefb_Season Win #","alltimefb_Season #","alltimefb_Gm #","alltimefb_Surface","alltimefb_State","alltimefb_Jersey","alltimefb_Pants","alltimefb_Helmet","alltimefb_Game Time","alltimefb_Night","alltimefb_PDF","alltimefb_<17","alltimefb_Temp","alltimefb_Weather","alltimefb_TV","alltimefb_PxP","alltimefb_Analyst","alltimefb_Sideline","alltimefb_Analyst__1","alltimefb_Level","alltimefb_Division","alltimefb_Toss","alltimefb_Choice","alltimefb_Bye","alltimefb_Gm #__1","alltimefb_Check","alltimefb_ACC Opener","alltimefb_ACC Hm Opener","alltimefb_Homecoming","alltimefb_Big 4","alltimefb_0-1L-Nov","alltimefb_Final Play","alltimefb_NFL Stadium","alltimefb_ATW","alltimefb_ATL","alltimefb_ATT__1","alltimefb_AT Pct","alltimefb_Bowl","alltimefb_Discrepancies","alltimefb_Nickname","alltimefb_LINK","alltimefb_Coastal-Atlantic","alltimefb_Starting QB","alltimefb_WF Poss","alltimefb_TD","alltimefb_FG","alltimefb_Punt","alltimefb_L/TO","alltimefb_MFG","alltimefb_Dns","alltimefb_Time","alltimefb_TOT","alltimefb_Opp Dr","alltimefb_TD__1","alltimefb_FG__1","alltimefb_Punt__1","alltimefb_L/TO__1","alltimefb_Dns__1","alltimefb_MFG__1","alltimefb_Time__1","alltimefb_TOT__1","alltimefb_Off Drs","alltimefb_3-and-out","alltimefb_Def Drs","alltimefb_3 and out","alltimefb_Non-Sat","alltimefb_Opp W","alltimefb_Opp L","alltimefb_Opp T","alltimefb_Opp Bowl","alltimefb_Line","alltimefb_TV Viewers","alltimefb_TV rating","alltimefb_Conf gm","alltimefb_1st 3 gms","alltimefb_1st 4 gms","alltimefb_Pts Ald-4","alltimefb_5 gms-PF","alltimefb_30 pt gms","alltimefb_X__1","alltimefb_Upset"
"399","Oct. 5",1985,"TENNESSEE",754,"L",42,185,NA,NA,"25","277",NA,NA,"25","40","1","277",NA,NA,6,121,"0",NA,3,30,0,NA,462,82,"25",12,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,172,3,NA,13,170,"1",NA,"13",23,1,"170",1,NA,4,80,0,NA,2,-2,0,NA,309,"16",10,"6","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,4.7,"L","29-31",29,31,-2,"L",93345,"SEC","A",NA,"1-0-1",NA,NA,NA,NA,"16","16",NA,NA,NA,"3-2","20-29","Al Groh","Johnny Majors",60,NA,NA,5,755,NA,"TN",NA,NA,NA,"1:30",NA,NA,NA,"63","partly cloudy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754,NA,NA,NA,NA,NA,NA,NA,NA,NA,"432",NA,NA,NA,NA,"Volunteers",NA,NA,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sugar","17",NA,NA,NA,NA,NA,NA,130,NA,NA,NA
"400","Oct. 12",1985,"NORTH CAROLINA",755,"L",37,98,NA,NA,"25","248",NA,NA,"25","48","2","248",NA,NA,4,71,"0",NA,1,12,0,NA,346,85,"19",4,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,155,0,NA,23,279,"5",NA,"23",32,1,"279",5,NA,2,26,0,NA,1,4,0,NA,343,"28",11,"17","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,5.7,"L","14-34",14,34,-20,"L",49000,"ACC","A","0-2","2-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-3","20-30","Al Groh","Dick Crum",48,NA,NA,6,756,NA,"NC",NA,NA,NA,"1:00",NA,NA,NA,"68","overcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755,NA,NA,NA,NA,"L",NA,NA,NA,NA,"433",NA,NA,NA,NA,"Tar Heels",NA,NA,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"401","Oct. 19",1985,"MARYLAND",756,"L",34,64,NA,NA,"21","166",NA,NA,"21","38","0","166",NA,NA,5,75,"0",NA,2,15,0,NA,230,72,"18",6,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,163,0,NA,13,275,"2",NA,"13",26,1,"275",2,NA,1,14,0,NA,2,21,0,NA,438,"20",12,"8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,6,"L","3-26",3,26,-23,"L",23700,"ACC","H","0-3","2-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-4","20-31","Al Groh","Bobby Ross",29,NA,NA,7,757,NA,"MD",NA,NA,NA,"1:00",NA,NA,NA,"70","partly cloudy, cool and breezy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756,NA,NA,NA,NA,NA,NA,NA,NA,NA,"434",NA,NA,NA,NA,"Terrapins",NA,NA,"Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cherry","17.5",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"402","Oct. 26",1985,"VIRGINIA",757,"L",39,196,NA,NA,"19","165",NA,NA,"19","37","0","165",NA,NA,3,51,"0",NA,2,22,0,NA,381,76,"18",11,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,258,1,NA,4,62,"1",NA,"4",11,3,"62",1,NA,2,48,0,NA,5,43,0,NA,320,"16",13,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,5.1,"L","18-20",18,20,-2,"L",19400,"ACC","H","0-4","3-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-5","20-32","Al Groh","George Welsh",38,NA,NA,8,758,NA,"VA",NA,NA,NA,"12:17",NA,NA,NA,"65","mostly sunny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757,NA,NA,NA,NA,NA,NA,NA,NA,NA,"435",NA,NA,NA,NA,"Cavaliers",NA,NA,"Elkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"403","Nov. 2",1985,"CLEMSON",758,"L",29,83,NA,NA,"19","202",NA,NA,"19","39","1","202",NA,NA,2,53,"0",NA,4,15,0,NA,285,68,"17",5,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,306,2,NA,12,166,"1",NA,"12",21,0,"166",1,NA,4,71,0,NA,0,0,0,NA,472,"28",17,"9","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,5.5,"L","10-26",10,26,-16,"L",70000,"ACC","A","0-5","4-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-6","20-33","Al Groh","Danny Ford",36,NA,NA,9,759,NA,"SC",NA,NA,NA,"1:00",NA,NA,NA,"66","partly cloudy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758,NA,NA,NA,NA,NA,NA,NA,NA,NA,"436",NA,NA,NA,NA,"Tigers",NA,NA,"Elkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,"Independence","14.5",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"404","Nov. 9",1985,"DUKE",759,"W",48,272,NA,NA,"13","119",NA,NA,"13","21","2","119",NA,NA,2,28,"0",NA,3,33,0,NA,391,69,"17",11,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,106,0,NA,17,189,"1",NA,"17",28,1,"189",1,NA,4,53,0,NA,2,8,0,NA,297,"18",7,"10","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,4.3,"W","27-7",27,7,20,"W",19800,"ACC","H","1-5","2-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4-6","21-33","Al Groh","Steve Sloan",34,NA,1,10,760,NA,"NC",NA,NA,NA,"1:00",NA,NA,NA,"65","clear and mild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,759,NA,NA,NA,"X","W",NA,NA,NA,"292",NA,NA,NA,NA,NA,"Blue Devils",NA,NA,"Elkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2",NA,NA,"Y",NA,NA,NA,NA,NA,NA,"UPSET"
"405","Nov. 16",1985,"GEORGIA TECH",760,"L",36,173,NA,NA,"17","122",NA,NA,"17","32","0","122",NA,NA,4,26,"0",NA,1,5,0,NA,295,68,"16",9,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,269,4,NA,11,209,"1",NA,"11",18,2,"209",1,NA,2,30,0,NA,5,15,0,NA,478,"25",17,"8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,6.3,"L","10-41",10,41,-31,"L",28575,"ACC","A","1-6","6-2-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4-7","21-34","Al Groh","Bill Curry",51,NA,NA,11,761,NA,"GA",NA,NA,NA,"12:15",NA,NA,NA,"75","mostly sunny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,"437",NA,NA,NA,NA,"Yellow Jackets",NA,NA,"Elkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hall of Fame Bowl","14",NA,NA,"Y",NA,NA,NA,NA,"2",NA,NA
"406","Sept. 6",1986,"APPALACHIAN STATE",761,"W",30,132,NA,NA,"21","264",NA,NA,"21","32","1","264",NA,NA,3,50,"0",NA,4,23,0,NA,396,62,"19",8,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,228,1,NA,13,148,"0",NA,"13",22,0,"148",0,NA,3,66,0,NA,1,-1,0,NA,376,"19",10,"9","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,4.8,"W","21-13",21,13,8,"W",28700,"SoCon","H",NA,"1-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-0","22-34","Al Groh","Sparky Woods",34,NA,1,1,762,NA,"NC",NA,NA,NA,"7:00","N",NA,NA,"78","calm and fair, sunny",NA,NA,NA,NA,NA,NA,"FCS",NA,NA,NA,761,NA,NA,NA,NA,NA,NA,NA,NA,"293",NA,NA,NA,NA,NA,"Mountaineers",NA,NA,"Elkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","Sept. 13",1986,"BOSTON UNIVERSITY",762,"W",36,133,NA,NA,"18","213",NA,NA,"18","38","2","213",NA,NA,1,18,"0",NA,8,135,0,NA,346,74,"20",9,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,50,0,NA,23,232,"0",NA,"23",55,1,"232",0,NA,6,87,0,NA,6,30,0,NA,282,"16",5,"9","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,3.2,"W","31-0",31,0,31,"W",17800,"Yankee","H",NA,"0-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-0","23-34","Al Groh","Steve Stetson",31,NA,2,2,763,NA,"MASS",NA,NA,NA,"7:00","N",NA,NA,"75","clear and cooling",NA,NA,NA,NA,NA,NA,"FCS",NA,NA,NA,762,NA,NA,NA,NA,NA,NA,NA,NA,"294",NA,NA,NA,NA,NA,"Terriers",NA,NA,"Elkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Sept. 20",1986,"NC STATE",763,"L",32,132,NA,NA,"35","429",NA,NA,"35","58","1","429",NA,NA,5,84,"0",NA,3,8,0,NA,561,90,"29",8,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,252,4,NA,19,246,"2",NA,"19",31,2,"246",2,NA,5,111,0,NA,4,39,0,NA,498,"31",13,"16","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,6.5,"L","38-42",38,42,-4,"L",37400,"ACC","A","0-1","1-0-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-1","23-35","Al Groh","Dick Sheridan",80,NA,NA,3,764,NA,"NC",NA,NA,NA,"12:15",NA,NA,NA,"79","sunny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,763,NA,"L",NA,NA,"L",NA,NA,NA,NA,"438",NA,NA,NA,NA,"Wolfpack",NA,NA,"Elkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peach","4",NA,NA,"Y",90,NA,NA,NA,NA,NA,NA
"409","Sept. 27",1986,"ARMY",764,"W",62,325,NA,NA,"15","478",NA,NA,"15","25","0","178",NA,NA,2,36,"0",NA,4,23,0,NA,503,87,"28",15,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,175,2,NA,6,118,"0",NA,"6",12,0,"118",0,NA,8,143,0,NA,1,12,0,NA,293,"12",6,"4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,5.1,"W","49-14",49,14,35,"W",40853,"Ind","A",NA,"1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-1","24-35","Al Groh","Jim Young",63,NA,1,4,765,NA,"NY",NA,NA,NA,"2:00",NA,NA,NA,"60","cloudy, cool, overcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,764,NA,NA,NA,NA,NA,NA,NA,NA,"295",NA,NA,NA,NA,NA,"Black Knights",NA,NA,"Elkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,"5",NA,NA,NA,NA,139,69,NA,NA,NA,NA
"410","Oct. 4",1986,"VIRGINIA",765,"L",46,254,NA,NA,"21","296",NA,NA,"21","39","3","296",NA,NA,3,83,"0",NA,6,31,0,NA,550,85,"29",15,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,149,3,NA,17,225,"0",NA,"17",32,1,"225",0,NA,5,123,0,NA,3,1,0,NA,374,"16",4,"11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,4.7,"L","28-30",28,30,-2,"L",25400,"ACC","H","0-2","1-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-2","24-36","Al Groh","George Welsh",58,NA,NA,5,766,NA,"VA",NA,NA,NA,"12:22",NA,NA,NA,"91","sunny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,765,NA,NA,"L","X",NA,NA,NA,NA,NA,"439",NA,NA,NA,NA,"Cavaliers",NA,NA,"Elkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.5",NA,NA,"Y",NA,NA,NA,167,NA,NA,NA
"411","Oct. 11",1986,"NORTH CAROLINA",766,"L",37,149,NA,NA,"21","297",NA,NA,"21","48","2","297",NA,NA,8,122,"0",NA,0,0,0,NA,446,85,"22",8,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,311,1,NA,12,163,"4",NA,"12",22,0,"163",4,NA,6,130,0,NA,1,-8,0,NA,474,"27",17,"8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,5.9,"L","30-40",30,40,-10,"L",31350,"ACC","H","0-3","3-0-1",NA,NA,NA,NA,"20 C, NR AP","NR","20",NA,NA,"3-3","24-37","Al Groh","Dick Crum",70,NA,NA,9,767,NA,"NC",NA,NA,NA,"1:00",NA,NA,NA,"60","windy gusty",NA,NA,NA,NA,NA,NA,NA,"Win","defer",NA,766,NA,NA,NA,NA,"L",NA,NA,NA,NA,"440",NA,NA,NA,NA,"Tar Heels",NA,NA,"Elkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aloha","5",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"412","Oct. 18",1986,"MARYLAND",767,"W",47,162,NA,NA,"18","180",NA,NA,"18","30","1","180",NA,NA,3,17,"0",NA,3,22,0,NA,342,77,"20",9,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,97,0,NA,18,286,"3",NA,"18",31,1,"286",3,NA,4,78,0,NA,3,35,0,NA,383,"18",5,"12","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,5.6,"W","27-21",27,21,6,"W",39650,"ACC","A","1-3","3-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4-3","25-37","Al Groh","Bobby Ross",48,NA,1,6,768,NA,"MD",NA,NA,NA,"7:00","N",NA,NA,"57","clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pre",767,NA,NA,NA,NA,NA,NA,NA,NA,"296",NA,NA,NA,NA,NA,"Terrapins",NA,NA,"Elkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.5",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
