Class,Pos,"Name (last, first)",Year,Gms,Solo,Asst,Total,TFL,Yds,Sacks,Yds,Int,Yds,ITD,PBU,QBH,FR,Yd,FF,Blk Kick,Safety,Total Check,Diff,PDF,Tkls/Gm,Tm Rank,PDF
JR,TE,"Selmon, Zac",2006,14,2,0,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.1,,0
Sr,NT,"Scales, Goryal",2005,11,12,14,26,2.0,7,1,2,0,0,,0,,0,0,0,0,0,26,0,0,2.4,,0
Sr,LB,"Pratt, Jason",2005,11,13,8,21,2.0,5,0,0,0,0,,1,,0,0,0,0,0,21,0,1,1.9,,1
Sr,WR,"Anderson, Dominic",2005,8,4,4,8,1.5,3,1,2,1,3,,0,,0,0,1,0,1,8,0,1,1.0,,1
Sr,S,"Simmons, Robert",2005,8,5,1,6,0.0,0,0,0,0,0,,2,,0,0,1,0,0,6,0,2,0.8,,2
Sr,RB,"Barclay, Chris",2005,10,3,0,3,0.0,0,0,0,0,0,,0,,0,0,0,0,0,3,0,0,0.3,,0
So,LB,"Abbate, Jon",2005,10,41,36,76,6.0,27,2,21,2,26,,0,,2,0,0,0,0,77,1,2,7.6,1,2
SO,DE,"Robinson, Matt",2005,11,17,19,36,10.5,36,4.5,23,0,0,,4,,0,0,1,0,0,36,0,4,3.3,,4
SO,DE,"Thompson, Jeremy",2005,8,15,6,21,2.0,2,0,0,0,0,,1,,0,0,0,0,0,21,0,1,2.6,,1
So,SS,"Mason, Aaron",2005,10,7,8,15,3.0,23,1,15,0,0,,0,,0,0,0,0,0,15,0,0,1.5,,0
SO,DT,"Stukes, Zach",2005,9,5,8,13,3.0,12,1,8,0,0,,0,,0,0,0,0,0,13,0,0,1.4,,0
So,RB,"Bryant, DeAngelo",2005,11,1,2,3,0.0,0,0,0,0,0,,0,,0,0,0,0,0,3,0,0,0.3,,0
So,LS,"Jarvis, Nick",2005,9,2,1,3,0.0,0,0,0,0,0,,0,,0,0,0,0,0,3,0,0,0.3,,0
So,C,"Justice, Steve",2005,11,1,1,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.2,,0
RS,CB,"Smith, Alphonso",2005,11,52,7,59,8.0,28,2,9,3,32,,9,,0,0,1,2,0,59,0,12,5.4,,12
RS,LB,"Curry, Aaron",2005,11,28,17,45,7.5,40,1,15,0,0,,5,,0,0,0,0,0,45,0,5,4.1,,5
RS,LB,"Arnoux, Stanley",2005,11,16,11,27,1.5,5,0,0,0,0,,1,,0,0,0,0,0,27,0,1,2.5,,1
RS,S,"Vaughn, Chip",2005,11,16,9,25,0.5,0,0,0,0,0,,0,,0,0,1,0,0,25,0,0,2.3,,0
RS,DB,"Patterson, Kevin",2005,7,18,6,24,0.0,0,0,0,0,0,,3,,0,0,0,0,0,24,0,3,3.4,,3
RS,LB,"Berry, Eric",2005,11,8,9,17,0.5,2,0,0,0,0,,0,,1,0,0,0,0,17,0,0,1.5,,0
RS,CB,"Major, Kerry",2005,9,7,3,10,0.0,0,0,0,0,0,,0,,0,0,0,0,0,10,0,0,1.1,,0
RS,DE,"Davis, Anthony",2005,9,5,4,9,0.0,0,0,0,0,0,,1,,0,0,0,0,0,9,0,1,1.0,,1
RS,LB,"McClinic, Chantz",2005,10,5,0,5,0.0,0,0,0,0,0,,0,,0,0,0,0,0,5,0,0,0.5,,0
RS,PK,"Swank, Sam",2005,11,2,0,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.2,,0
Jr,FS,"Gattis, Josh",2005,11,46,26,72,0.0,0,0,0,5,126,,7,,1,0,1,0,0,72,0,12,6.5,,12
Jr,SS,"Ghee, Patrick",2005,11,42,23,65,0.5,1,0,0,1,10,,3,,0,0,0,0,0,65,0,4,5.9,,4
Jr,DB,"Swanson, Riley",2005,10,26,11,37,1.0,2,0,0,2,7,,6,,0,0,1,0,0,37,0,8,3.7,,8
Jr,DT,"Andrews, Bryan",2005,11,19,8,27,4.5,17,0.5,2,0,0,,2,,0,0,1,0,0,27,0,2,2.5,,2
Jr,LB,"Easley, Pierre",2005,8,10,11,21,1.0,5,0,0,0,0,,0,,0,0,0,0,0,21,0,0,2.6,,0
Jr,DE,"Tucker, Jyles",2005,8,8,7,15,3.0,23,1,15,0,0,,3,,0,0,0,0,0,15,0,3,1.9,,3
Jr,LB,"Sykes, Napoleon",2005,10,4,7,11,1.0,3,0,0,0,0,,0,,0,0,0,0,0,11,0,0,1.1,,0
Jr,LB,"Adams, James",2005,10,5,5,10,1.0,1,1,1,0,0,,0,,0,0,0,0,0,10,0,0,1.0,,0
Jr,DT,"Smith, Jamil",2005,9,2,1,3,0.0,0,0,0,0,0,,0,,0,0,0,0,0,3,0,0,0.3,,0
Jr,OG,"Callahan, Dan",2005,9,2,0,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.2,,0
Jr,FB,"McWhite, Damon",2005,11,1,1,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.2,,0
Jr,OL,"Vallos, Steve",2005,11,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
Fr,DE,"Wilson, Antonio",2005,2,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.5,,0
Sr,DB,"Bracy, Caron",2004,11,36,21,57,4.5,31,1.5,15,0,0,,1,,1,0,0,0,0,57,0,1,5.2,,1
Sr,LB,"White, Brad",2004,10,40,15,55,7.5,40,2,21,0,0,,1,,1,36,1,0,0,55,0,1,5.5,,1
Sr,FS,"Braxton, Warren",2004,11,35,17,52,3.5,18,2,15,1,10,,2,,0,0,0,0,0,52,0,3,4.7,,3
Sr,CB,"King, Eric",2004,10,29,11,40,5.5,37,2,21,1,0,,11,,0,0,2,0,0,40,0,12,4.0,,12
Sr,CB,"McGruder, Marcus",2004,11,28,7,35,1.0,9,0,0,3,68,,7,,0,0,0,0,0,35,0,10,3.2,,10
Sr,DE,"Nichols, Jerome",2004,11,17,5,22,5.5,37,2,25,0,0,,4,,0,0,0,1,0,22,0,4,2.0,,4
SR,TE,"Montgomery, R.D.",2004,11,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
So,FS,"Gattis, Josh",2004,11,50,21,71,3.5,17,1,8,2,43,,4,,3,0,2,0,0,71,0,6,6.5,,6
