"","PlayerYear","PlayerPosition","Name","calYear","Games","SoloTackles","AsstTackles","TotalTackles","TacklesForLoss","TFL_Yds","Sacks","Sack_Yds","Int","Int_Yds","IntTD","PassBreakUps","QBHurries","FumbleRecov","FumbleRecov_Yds","ForcedFumbles","BlockedKicks","Safety","Tkls/Gm","TotalCheck","Diff","PDF","Tm Rank","PDF_1"
"52","SO","DE","STEWART, CHRIS",2016,12,12,8,20,4,17,2.5,9,0,0,0,3,2,0,0,0,1,NA,1.66666666666667,20,NA,NA,NA,3
"53","SO","DE","CALHOUN, CHRIS",2016,13,6,6,12,1,2,1,2,0,0,0,1,1,0,0,0,NA,NA,0.923076923076923,12,NA,NA,NA,1
"54","SO","CB","AUSTIN, DIONTE",2016,12,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583333333333333,7,NA,NA,NA,0
"55","SO","WR","WADE, CHUCK",2016,13,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0.230769230769231,3,NA,NA,NA,0
"56","SO","OG","HAYNES, PHIL",2016,13,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0769230769230769,1,NA,NA,NA,0
"57","SO","LB","MCNEIL, KALIN",2016,7,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,1,NA,NA,NA,0
"58","SO","LS","WILSON, GARRETT",2016,6,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,1,NA,NA,NA,0
"59","RS","CB","HENDERSON, AMARI",2016,11,13,7,20,0,0,0,0,1,0,0,9,0,1,0,0,NA,NA,1.81818181818182,20,NA,NA,NA,10
"60","RS","LB","STRNAD, JUSTIN",2016,13,12,7,19,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1.46153846153846,19,NA,NA,NA,0
"61","RS","DE","BLACK, PARIS",2016,12,4,3,7,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,0.583333333333333,7,NA,NA,NA,1
"62","RS","LB","MAYS, NATE",2016,13,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.307692307692308,4,NA,NA,NA,0
"63","RS","WR","CLAUDE, STEVEN",2016,12,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,4,NA,NA,NA,0
"64","RS","DT","BATEMAN, ELONTAE",2016,4,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,3,NA,NA,NA,0
"65","RS","OT","BENZINGER, JAKE",2016,11,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,1,NA,NA,NA,0
"66","JR","DE","EJIOFOR, DUKE",2016,13,30,20,50,17,113,10.5,93,1,1,0,4,4,2,0,2,NA,NA,3.84615384615385,50,NA,NA,NA,5
"67","JR","LB","WILLIAMS, JABOREE",2016,11,21,15,36,5.5,23,2,16,0,0,0,0,2,NA,NA,NA,NA,NA,3.27272727272727,36,NA,NA,NA,0
"68","JR","S","OKONYE, JOSH",2016,13,21,15,36,0.5,0,0,0,0,0,0,3,1,1,0,NA,NA,NA,2.76923076923077,36,NA,NA,NA,3
"69","JR","LB","DAWSON, GRANT",2016,13,21,14,35,2.5,0,0,0,1,6,0,1,1,NA,NA,NA,NA,NA,2.69230769230769,35,NA,NA,NA,2
"70","JR","DE","DUNN, WENDELL",2016,13,23,9,32,6,15,2.5,12,0,0,0,0,1,1,0,0,NA,NA,2.46153846153846,32,NA,NA,NA,0
